WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
renewable;5;adj;2;odnawialny;;
respectively;5;adv;2;odpowiednio;;
revenue;5;n;3;dochód;;
rotor;5;n;3;wirnik;rotor;
rpm;5;n;3;obroty na minutę;;
self-sufficient;5;adj;2;samowystarczalny;;
sewage;5;n;3;ścieki;nieczystości;
sewage works;5;n;3;oczyszczalnia ścieków;;
shaft;5;n;3;wał, wałek;szyb;
snake;5;n;1;wąż (zwierzę);;
source;5;n;2;źródło;;
speed;5;n;1;prędkość;;
static friction;5;n;3;tarcie spoczynkowe;tarcie statyczne;
storm;5;n;1;burza;;
surface;5;n;2;powierzchnia;;
suspect;5;n;3;podejrzany;;
thermal store;5;n;3;zbiornik energii cieplnej;;
to collapse;5;v;2;zawalić się;;
to damage;5;v;2;uszkodzić;;
to decrease;5;v;2;zmniejszyć;;
to describe;5;v;1;opisać;;
to discover;5;v;1;odkryć;;
to hurt;5;v;1;zranić;;
to infer;5;v;3;wywnioskować;wydedukować;
to mount;5;v;3;zamocować;ustawić na podwyższeniu;
to overcome;5;v;2;przezwyciężyć;pokonać;
to reject;5;v;2;odrzucać;;
to relay;5;v;3;przekazywać (sygnał, moc);;
to rotate;5;v;2;obracać się;kręcić się;
to save;5;v;1;ocalić;oszczędzać;
to simplify;5;v;2;uprościć;;
to split;5;v;3;rozszczepić;rozdzielić;
trigeneration plant;5;n;3;zakład trójgeneracji;;
tubular;5;adj;3;rurowy;cylindryczny;
vane;5;n;3;wiatrowskaz;;
viable;5;adj;3;wykonalny;realny;
wave;5;n;2;fala;;
while;5;o;2;podczas;w trakcie;chwila
yaw;5;n;3;odchylenie kierunkowe;;
acoustic liner;6;n;3;wygłuszenie;izolacja akustyczna;
actually;6;adv;3;właściwie;w istocie;
aerodrome controller;6;n;2;kontroler lotniska;;
aerofoil;6;n;3;płat;;
aeronautics;6;n;2;lotnictwo;aeronautyka;
aileron;6;n;3;lotka;;
airframe;6;n;3;płatowiec;;
airspace;6;n;2;przestrzeń powietrzna;;
air-traffic control;6;n;2;kontrola lotu;;
altitude;6;n;2;wysokość lotu;;
altitude hold;6;n;2;utrzymywanie wysokości;;
angle;6;n;2;kąt;;
approach controller;6;n;2;kontroler zbliżania;;
area controller;6;n;2;kontroler obszaru;;
blended wing design;6;n;3;układ zespolonego skrzydła;;
cockpit;6;n;1;kabina pilota;;
combustor;6;n;3;zespół komory spalania;;
compressor;6;n;2;sprężarka;;
craft;6;n;3;statek powietrzny;;
