WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3;USE1;USE2;USE3
to take turns;2;v;3;robiæ coœ na zmianê;;;;;
to tell a story;2;v;3;opowiedzieæ historiê;;;;;
to think;1;v;1;myœleæ;;;;;
to throw;1;v;2;rzuciæ;;;;;
to tick;1;v;3;odfajkowaæ;;;;;
to train;1;v;2;trenowaæ;szkoliæ;;;;
to transmit;2;v;3;transmitowaæ;;;;;
to try;1;v;2;próbowaæ;;;;;
to underline;1;v;2;podkreœliæ;;;;;
to understand;1;v;1;rozumieæ;;;;;
to use;1;v;2;u¿yæ;;;;;
to view;1;v;2;ogl¹daæ;;;;;
to vote;2;v;3;g³osowaæ;;;;;
to want;1;v;1;chcieæ;;;;;
to watch;1;v;1;ogl¹daæ;;;;;
to weigh;1;v;2;wa¿yæ;;;;;
to win;2;v;2;zwyciê¿yæ;;;;;
to work;1;v;1;pracowaæ;;;;;
top speed;2;n;3;maksymalna prêdkoœæ;;;;;
tourist;2;n;1;turysta;;;;;
traditional;1;adj;2;tradycyjny;;;;;
trip;2;n;2;wycieczka;;;;;
true;1;adj;1;prawdziwy;;;;;
Tuesday;1;n;1;wtorek;;;;;
twice;1;adv;2;dwukrotnie;;;;;
university;1;n;2;uniwersytet;;;;;
unusual;1;adj;2;niezwyk³y;;;;;
useful;1;adj;1;przydatny;;;;;
usually;1;adv;1;zazwczaj;;;;;
verb;1;n;3;czasownik;;;;;
version;1;n;2;wersja;;;;;
vocabulary;1;n;2;s³ownictwo;;;;;
volleyball;1;n;2;siatkówka (sport);;;;;
waste;1;n;2;strata;;;;;
water;1;n;1;woda;;;;;
way;1;n;2;sposób;droga;;;;
weather;1;n;2;pogoda;;;;;
wedding;2;n;2;œlub;;;;;
white;1;adj;1;bia³y;;;;;
window;1;n;1;okno;;;;;
winner;1;n;1;zwyciêzca;;;;;
woman;1;n;1;kobieta;;;;;
word;1;n;1;s³owo;;;;;
word order;2;n;3;szyk zdania;;;;;
world;1;n;1;œwiat;;;;;
worried;2;adj;2;zmartwiony;;;;;
