WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
wysokoœæ lotu;6;n;2;altitude;;
utrzymywanie wysokoœci;6;n;2;altitude hold;;
k¹t;6;n;2;angle;;
kontroler zbli¿ania;6;n;2;approach controller;;
kontroler obszaru;6;n;2;area controller;;
uk³ad zespolonego skrzyd³a;6;n;3;blended wing design;;
kabina pilota;6;n;1;cockpit;;
zespó³ komory spalania;6;n;3;combustor;;
sprê¿arka;6;n;2;compressor;;
statek powietrzny;6;n;3;craft;;
punkt rosy;6;n;3;dew point;;
wezwanie pomocy;6;n;2;distress call;;
opór czo³owy;6;n;3;drag;opór aerodynamiczny;
ster wysokoœci;6;n;3;elevator;ster poziomy;
masa w³asna samolotu;6;n;3;empty weight;;
wlot powietrza;6;n;2;engine intake;;
dok³adny;6;adj;2;exact;;
owiewka;6;n;3;fairing;;
wentylator;6;n;2;fan;;
klapa;6;n;3;flap;;
elektroniczny system pilotowania ;6;n;3;fly-by-wire;;
rama;6;n;2;frame;;
samolot transportowy;6;n;2;freighter;;
pojemnoœæ zbiorników paliwa;6;n;3;fuel capacity;masa paliwa;
turbospalinowy;6;adj;2;gas-turbine;;
szybowiec;6;n;2;glider;;
u¿ytki zielone;6;n;3;grasslands;;
wysokoœæ;6;n;1;height;;
noszenie zboczowe;6;n;3;hill/ridge lift;;
strefa oczekiwania;6;n;3;holding area;;
poziomy;6;adj;2;horizontal;;
tablica przyrz¹dów;6;n;2;instrument panel;;
silnik odrzutowy;6;n;2;jet engine;;
wêze³;6;n;2;knot;;
podwozie samolotu;6;n;3;landing gear;;
poziom;6;n;1;level;;
si³a noœna;6;n;3;lift;noszenie;
pamiêæ;6;n;1;memory;;
nieporozumienie;6;n;2;misunderstanding;;
w¹ski;6;adj;1;narrow;;
mila morska;6;n;2;nautical mile;;
ha³as;6;n;1;noise;;
bezsilnikowy;6;adj;2;non-powered;;
dysza;6;n;3;nozzle;;
kolejnoœæ;6;n;2;order;;
stojanka;6;n;3;parking stand;stanowisko postojowe;
liczba miejsc w samolocie;6;n;3;people capacity;;
mo¿liwy;6;adj;1;possible;;
ciœnienie;6;n;2;pressure;;
zasiêg;6;n;2;range;;
odnoœny, istotny, dotycz¹cy;6;adj;2;relevant;;
wirop³at;6;n;3;rotary-wing craft;;
ster kierunku;6;n;3;rudder;;
droga startowa;6;n;3;runway;pas startowy;
na boki;6;adv;2;sideways;;
