WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3;USE1;USE2;USE3
routine;1;n;2;rutyna;;;;;
rule;1;n;2;zasada;;;;;
sad;2;adj;1;smutny;;;;;
same;1;adj;2;taki sam;;;;;
satellite;2;n;2;satelita;;;;;
saxophone;1;n;2;saksofon;;;;;
scale;2;n;2;skala;;;;;
scared;1;adj;2;przestraszony;;;;;
school;1;n;1;szkoła;;;;;
score;1;n;2;wynik punktowy;;;;;
season;1;n;2;pora roku;sezon;;;;
second;2;adj;1;drugi;;;;;
secretary;2;n;2;sekretarz;;;;;
shoe;1;n;1;but;;;;;
sign;2;n;2;znak;;;;;
similar;1;adj;2;podobny;;;;;
singer;1;n;1;piosenkarz;;;;;
sister;1;n;1;siostra;;;;;
situation;2;n;1;sytuacja;;;;;
society;2;n;3;społeczeństwo;;;;;
sometimes;1;adv;1;czasami;;;;;
space;2;n;2;przestrzeń;;;;;
spider;2;n;3;pająk;;;;;
sport;1;n;1;sport;;;;;
sportsman;1;n;1;sportowiec;;;;;
spot;1;n;2;punkt;;;;;
statement;1;n;3;twierdzenie;;;;;
stickball;1;n;3;palant;;;;;
strange;2;adj;2;dziwny;obcy;;;;
stranger;1;n;2;nieznajomy;;;;;
strategy;1;n;2;strategia;;;;;
stressed;1;adj;3;akcentowany;zestresowany;;;;
subject;2;n;3;podmiot;;;;;
suitcase;1;n;2;walizka;;;;;
surprised;2;adj;2;zaskoczony;;;;;
survey;1;n;3;sondaż;;;;;
survival;2;n;3;przetrwanie;;;;;
swimming pool;1;n;1;basen;;;;;
syllable;2;n;2;sylaba;;;;;
tall;1;adj;1;wysoki;;;;;
task;1;n;2;zadanie;;;;;
teacher;1;n;1;nauczyciel;;;;;
team;1;n;2;drużyna;;;;;
technology;2;n;2;technika;;;;;
television;2;n;1;telewizja;;;;;
television set;2;n;2;telewizor;;;;;
tennis;1;n;2;tenis;;;;;
Thursday;1;n;1;czwartek;;;;;
tired;1;adj;2;zmęczony;;;;;
title;2;n;2;tytuł;;;;;
to add;1;v;2;dodać;;;;;
to agree;1;v;2;zgadzać się;;;;;
to appear;2;v;2;pojawić się;;;;;
to arrive;2;v;2;przybyć;;;;;
to associate;1;v;3;kojarzyć;;;;;
to become;2;v;2;stać się;;;;;
to begin;1;v;1;rozpocząć;;;;;
to begin;2;v;1;zacząć;;;;;
to believe;2;v;2;wierzyć;;;;;
to book;2;v;2;zarezerwować;;;;;
to box;1;v;2;boksować;;;;;
to bring;2;v;2;przynieść;;;;;
to broadcast;2;v;3;nadawać program;;;;;
to buy;2;v;2;kupić;;;;;
to cancel;2;v;3;odwołać;;;;;
to change;2;v;1;zmienić;;;;;
to check;1;v;2;sprawdzić;;;;;
to choose;1;v;2;wybrać;;;;;
to climb;2;v;3;wspinać się;;;;;
to collect;1;v;2;zbierać;;;;;
to come from;1;v;2;pochodzić z;;;;;
to compare;1;v;2;porównać;;;;;
to complete;1;v;2;uzupełnić;dokończyć;;;;
to consume;1;v;2;konsumować;;;;;
to continue;1;v;2;kontynuować;;;;;
to cook;1;v;1;gotować;;;;;
to cross;1;v;3;skreślić;przekroczyć;;;;
to cycle;1;v;2;jeździć na rowerze;;;;;
to decide;1;v;2;decydować;;;;;
to describe;1;v;2;opisać;;;;;
to design;2;v;2;projektować;;;;;
to develop;2;v;2;rozwijać;;;;;
to die;2;v;2;umrzeć;;;;;
to disagree;1;v;2;nie zgadzać się;;;;;
to discuss;1;v;2;dyskutować;;;;;
to drink;1;v;1;pić;;;;;
to drive;2;v;1;prowadzić samochód;;;;;
to earn;1;v;2;zarabiać;;;;;
to enjoy;2;v;2;czerpać przyjemność;;;;;
to escape;2;v;2;uciec;;;;;
to feel;1;v;2;czuć;;;;;
to fight;1;v;2;walczyć;;;;;
to find out;1;v;3;dowiedzieć się;;;;;
to fit;2;v;3;pasować;;;;;
to fly;2;v;2;lecieć;;;;;
to forget;2;v;2;zapomnieć;;;;;
to get up;1;v;2;wstawać z łóżka;;;;;
to go sightseeing;2;v;3;zwiedzać;;;;;
to guess;1;v;2;zgadnąć;;;;;
to happen;2;v;2;zdarzyć się;;;;;
to hate;1;v;1;nienawidzieć;;;;;
to hear;1;v;1;słyszeć;;;;;
to help;1;v;1;pomóc;;;;;
to hit;1;v;2;uderzyć;;;;;
to hold;1;v;2;trzymać;;;;;
to include;1;v;3;zawierać;;;;;
to introduce;2;v;2;przedstawić się;;;;;
to invent;2;v;2;wynaleźć;;;;;
to kick;1;v;1;kopnąć;;;;;
to know;1;v;1;znać;wiedzieć;;;;
to last;1;v;3;trwać;;;;;
to learn;2;v;1;uczyć się;;;;;
to like;1;v;1;lubić;;;;;
to listen;1;v;1;słuchać;;;;;
to lose;2;v;2;zgubić;stracić;;;;
to mark;2;v;3;zaznaczyć;;;;;
to match;1;v;2;dopasować;;;;;
to meet;1;v;2;spotkać;poznać;;;;
to mind;1;v;2;mieć coś przeciw;;;;;
to miss;1;v;2;tęsknić;;;;;
to move;1;v;2;ruszać;;;;;
to need;1;v;2;potrzebować;;;;;
to notice;1;v;2;zauważyć;;;;;
to open;1;v;1;otworzyć;;;;;
to organise;1;v;2;organizować;;;;;
to originate;1;v;3;wywodzić się, zapoczątkować;;;;;
to pay;2;v;2;płacić;;;;;
to play;1;v;1;grać;;;;;
to practise;1;v;2;ćwiczyć;;;;;
to prefer;1;v;2;preferować;;;;;
to press;1;v;2;nacisnąć;;;;;
to provide;1;v;2;dostarczyć;;;;;
to reach;1;v;2;dotrzeć;;;;;
to read;1;v;1;czytać;;;;;
to record;1;v;2;nagrać, zapisać;;;;;
to remember;2;v;2;pamiętać;;;;;
to result;1;v;3;wynikać;;;;;
to rewrite;2;v;2;przepisać;;;;;
to run;1;v;1;biec;;;;;
to save up;2;v;3;zaoszczędzić;;;;;
to score a goal;1;v;3;zdobyć bramkę;strzelić gola;;;;
to search;1;v;2;szukać;;;;;
to sell;1;v;2;sprzedać;;;;;
to send;1;v;1;wysłać;;;;;
to share;1;v;2;dzielić się czymś;;;;;
to sing;1;v;1;śpiewać;;;;;
to sleep;2;v;1;spać;;;;;
to start;1;v;1;zacząć;;;;;
to study;1;v;2;studiować;;;;;
to swim;1;v;1;pływać;;;;;
to take part;1;v;3;wziąć udział;;;;;
to take turns;2;v;3;robić coś na zmianę;;;;;
to tell a story;2;v;3;opowiedzieć historię;;;;;
to think;1;v;1;myśleć;;;;;
to throw;1;v;2;rzucić;;;;;
to tick;1;v;3;odfajkować;;;;;
to train;1;v;2;trenować;szkolić;;;;
to transmit;2;v;3;transmitować;;;;;
to try;1;v;2;próbować;;;;;
to underline;1;v;2;podkreślić;;;;;
to understand;1;v;1;rozumieć;;;;;
to use;1;v;2;użyć;;;;;
to view;1;v;2;oglądać;;;;;
to vote;2;v;3;głosować;;;;;
to want;1;v;1;chcieć;;;;;
to watch;1;v;1;oglądać;;;;;
to weigh;1;v;2;ważyć;;;;;
to win;2;v;2;zwyciężyć;;;;;
to work;1;v;1;pracować;;;;;
top speed;2;n;3;maksymalna prędkość;;;;;
tourist;2;n;1;turysta;;;;;
